Delivery Date,Delivery Hour,Repeated Hour Flag,dam,rtm
2022-01-01,5,N,12.19,15.31
2022-01-01,5,N,12.19,15.31
2022-01-01,5,N,12.19,15.31
2022-01-01,5,N,12.19,15.31
2022-01-01,5,N,12.19,15.31
2022-01-01,5,N,12.19,15.31
2022-01-01,5,N,12.19,15.31
2022-01-01,5,N,12.19,15.31
2022-01-01,5,N,12.19,15.31
2022-01-01,5,N,12.19,15.31
2022-01-01,5,N,10.0,15.31
2022-01-01,5,N,10.0,15.31
2022-01-01,5,N,10.0,15.31
2022-01-01,5,N,10.0,15.31
2022-01-01,5,N,10.0,15.31
2022-01-01,5,N,10.0,15.31
2022-01-01,5,N,10.0,15.31
2022-01-01,5,N,10.0,15.31
2022-01-01,5,N,10.0,15.31
2022-01-01,5,N,10.0,15.31
2022-01-01,5,N,10.0,15.31
2022-01-01,5,N,10.0,15.31
2022-01-01,5,N,10.0,15.31
2022-01-01,5,N,10.0,15.31
2022-01-01,5,N,10.0,15.31
2022-01-01,5,N,10.0,15.31
2022-01-01,5,N,8.13,15.31
2022-01-01,5,N,8.13,15.31
2022-01-01,5,N,8.13,15.31
2022-01-01,5,N,8.13,15.31
2022-01-01,5,N,8.13,15.31
2022-01-01,5,N,8.13,15.31
2022-01-01,5,N,8.13,15.31
2022-01-01,5,N,8.13,15.31
2022-01-01,5,N,8.13,15.31
2022-01-01,5,N,8.13,15.31
2022-01-01,5,N,8.13,15.31
2022-01-01,5,N,8.13,15.31
2022-01-01,5,N,8.13,15.31
2022-01-01,5,N,8.13,15.31
2022-01-01,5,N,8.13,15.31
2022-01-01,5,N,8.13,15.31
2022-01-01,6,N,15.62,13.03
2022-01-01,6,N,15.62,13.03
2022-01-01,6,N,15.62,13.03
2022-01-01,6,N,15.62,13.03
2022-01-01,6,N,15.62,13.03
2022-01-01,6,N,15.62,13.03
2022-01-01,6,N,15.62,13.03
2022-01-01,6,N,15.62,13.03
2022-01-01,6,N,15.62,13.03
2022-01-01,6,N,15.62,13.03
2022-01-01,6,N,15.62,13.03
2022-01-01,6,N,15.62,13.03
2022-01-01,6,N,15.62,13.03
2022-01-01,6,N,15.62,13.03
2022-01-01,6,N,15.62,13.03
2022-01-01,6,N,15.62,13.03
2022-01-01,6,N,14.92,13.03
2022-01-01,6,N,14.92,13.03
2022-01-01,6,N,14.92,13.03
2022-01-01,6,N,14.92,13.03
2022-01-01,6,N,14.92,13.03
2022-01-01,6,N,14.92,13.03
2022-01-01,6,N,14.92,13.03
2022-01-01,6,N,14.92,13.03
2022-01-01,6,N,14.92,13.03
2022-01-01,6,N,14.92,13.03
2022-01-01,6,N,14.92,13.03
2022-01-01,6,N,14.92,13.03
2022-01-01,6,N,14.92,13.03
2022-01-01,6,N,14.92,13.03
2022-01-01,6,N,14.92,13.03
2022-01-01,6,N,14.92,13.03
2022-01-01,6,N,12.93,13.03
2022-01-01,6,N,12.93,13.03
2022-01-01,6,N,12.93,13.03
2022-01-01,6,N,12.93,13.03
2022-01-01,6,N,12.93,13.03
2022-01-01,6,N,12.93,13.03
2022-01-01,6,N,12.93,13.03
2022-01-01,6,N,12.93,13.03
2022-01-01,6,N,12.93,13.03
2022-01-01,6,N,12.93,13.03
2022-01-01,6,N,12.93,13.03
2022-01-01,6,N,12.93,13.03
2022-01-01,6,N,12.93,13.03
2022-01-01,6,N,12.93,13.03
2022-01-01,6,N,12.93,13.03
2022-01-01,6,N,12.93,13.03
2022-01-01,6,N,9.66,13.03
2022-01-01,6,N,9.66,13.03
2022-01-01,6,N,9.66,13.03
2022-01-01,6,N,9.66,13.03
2022-01-01,6,N,9.66,13.03
2022-01-01,6,N,9.66,13.03
2022-01-01,6,N,9.66,13.03
2022-01-01,6,N,9.66,13.03
2022-01-01,6,N,9.66,13.03
2022-01-01,6,N,9.66,13.03
2022-01-01,6,N,9.66,13.03
2022-01-01,6,N,9.66,13.03
2022-01-01,6,N,9.66,13.03
2022-01-01,6,N,9.66,13.03
