date,tb2_revenue
1/18/2022 1:15,56.36
1/18/2022 1:30,41.6
1/18/2022 1:45,38.94
1/18/2022 2:00,42.5
1/18/2022 2:15,58.16
1/18/2022 2:30,50.02
1/18/2022 2:45,48.66
1/18/2022 3:00,49.32
1/18/2022 3:15,47.12
1/18/2022 3:30,50.4
1/18/2022 3:45,46.88
1/18/2022 4:00,43.12
1/18/2022 4:15,10.52
1/18/2022 4:30,17.46
1/18/2022 4:45,15.7
1/18/2022 5:00,17.56
1/18/2022 5:15,23.5
1/18/2022 5:30,27.08
1/18/2022 5:45,14.82
1/19/2022 0:00,12.66
1/19/2022 0:15,13.32
1/19/2022 0:30,9.34
1/19/2022 0:45,9.48
1/19/2022 1:00,11.16
1/19/2022 1:15,11.34
1/19/2022 1:30,10.34
1/19/2022 1:45,11.74
1/19/2022 2:00,14.24
1/19/2022 2:15,23.06
1/19/2022 2:30,37.54
1/19/2022 2:45,39.7
1/19/2022 3:00,43.18
1/19/2022 3:15,44.28
1/19/2022 3:30,48.4
1/19/2022 3:45,50.72
1/19/2022 4:00,55.44
1/19/2022 4:15,65.42
1/19/2022 4:30,67.76
1/19/2022 4:45,68.48
1/19/2022 5:00,63.78
1/19/2022 5:15,58.02
1/19/2022 5:30,60.86
1/19/2022 5:45,59.04
1/20/2022 0:00,40.14
1/20/2022 0:15,28.52
1/20/2022 0:30,19.36
1/20/2022 0:45,15.96
1/20/2022 1:00,12.42
1/20/2022 1:15,20.24
1/20/2022 1:30,26.86
1/20/2022 1:45,37.62
1/20/2022 2:00,25.88
1/20/2022 2:15,18.96
1/20/2022 2:30,16.24
1/20/2022 2:45,14.32
1/20/2022 3:00,12.48
1/20/2022 3:15,11.36
1/20/2022 3:30,12.26
1/20/2022 3:45,12.92
1/20/2022 4:00,17.04
1/20/2022 4:15,26.3
1/20/2022 4:30,30.22
1/20/2022 4:45,21.86
1/20/2022 5:00,18.78
1/20/2022 5:15,12.1
1/20/2022 5:30,8.2
1/20/2022 5:45,6.24
1/21/2022 0:00,4.94
1/21/2022 0:15,4.64
1/21/2022 0:30,4.74
1/21/2022 0:45,4.86
1/21/2022 1:00,6.66
1/21/2022 1:15,12.12
1/21/2022 1:30,49.34
1/21/2022 1:45,61.58
1/21/2022 2:00,27.26
1/21/2022 2:15,9.6
1/21/2022 2:30,7.24
1/21/2022 2:45,5.52
1/21/2022 3:00,4
1/21/2022 3:15,4.52
1/21/2022 3:30,4.3
1/21/2022 3:45,4.52
1/21/2022 4:00,4.52
1/21/2022 4:15,5.62
1/21/2022 4:30,4.9
1/21/2022 4:45,8.68
1/21/2022 5:00,9.28
1/21/2022 5:15,7.9
1/21/2022 5:30,5.96
1/21/2022 5:45,4.72
1/22/2022 0:00,1.06
1/22/2022 0:15,0.94
1/22/2022 0:30,0.34
1/22/2022 0:45,0.38
1/22/2022 1:00,1.84
1/22/2022 1:15,7.92
1/22/2022 1:30,19.3
1/22/2022 1:45,21.96
1/22/2022 2:00,13.04
1/22/2022 2:15,4.12
1/22/2022 2:30,0.48
1/22/2022 2:45,0.24
1/22/2022 3:00,0.18
1/22/2022 3:15,0.14
1/22/2022 3:30,0.14
1/22/2022 3:45,0.16
1/22/2022 4:00,0.18
1/22/2022 4:15,0.42
1/22/2022 4:30,0.94
1/22/2022 4:45,0.94
1/22/2022 5:00,0.66
1/22/2022 5:15,0.54
1/22/2022 5:30,0.34
1/22/2022 5:45,0.28
1/23/2022 0:00,0.3
1/23/2022 0:15,0.3
1/23/2022 0:30,0.32
1/23/2022 0:45,0.36
1/23/2022 1:00,0.42
1/23/2022 1:15,1.2
1/23/2022 1:30,3.26
1/23/2022 1:45,3.3
1/23/2022 2:00,2
1/23/2022 2:15,0.96
1/23/2022 2:30,0.38
1/23/2022 2:45,0.24
1/23/2022 3:00,0.12
1/23/2022 3:15,0.06
1/23/2022 3:30,0.02
1/23/2022 3:45,0.02
1/23/2022 4:00,0.16
1/23/2022 4:15,0.38
1/23/2022 4:30,0.42
1/23/2022 4:45,0.42
1/23/2022 5:00,0.28
1/23/2022 5:15,0.34
1/23/2022 5:30,0.72
1/23/2022 5:45,0.18
1/24/2022 0:00,0.1
1/24/2022 0:15,0.08
1/24/2022 0:30,0.06
1/24/2022 0:45,0.1
1/24/2022 1:00,0.12
1/24/2022 1:15,0.26
1/24/2022 1:30,0.22
1/24/2022 1:45,0.56
1/24/2022 2:00,0.08
1/24/2022 2:15,0.7
1/24/2022 2:30,0.54
1/24/2022 2:45,0.4
1/24/2022 3:00,0.22
1/24/2022 3:15,0.16
1/24/2022 3:30,0.1
1/24/2022 3:45,0.28
1/24/2022 4:00,0.22
1/24/2022 4:15,0.3
1/24/2022 4:30,0.76
1/24/2022 4:45,0.38
1/24/2022 5:00,0.36
1/24/2022 5:15,0.32
1/24/2022 5:30,3.9
1/24/2022 5:45,0.46
1/25/2022 0:00,2.1
1/25/2022 0:15,0.78
1/25/2022 0:30,0.24
1/25/2022 0:45,0.18
1/25/2022 1:00,0.36
1/25/2022 1:15,0.24
1/25/2022 1:30,1.6
1/25/2022 1:45,2.02
1/25/2022 2:00,1.2
1/25/2022 2:15,2.68
1/25/2022 2:30,2.06
1/25/2022 2:45,2.3
1/25/2022 3:00,2.2
1/25/2022 3:15,2.12
1/25/2022 3:30,2.24
1/25/2022 3:45,2.24
1/25/2022 4:00,2.66
1/25/2022 4:15,2.48
1/25/2022 4:30,10.46
1/25/2022 4:45,15.38
1/25/2022 5:00,29.24
1/25/2022 5:15,38.48
1/25/2022 5:30,41.72
1/25/2022 5:45,44.14
1/26/2022 0:00,18.94
1/26/2022 0:15,14.82
1/26/2022 0:30,8.92
1/26/2022 0:45,4.8
1/26/2022 1:00,2.4
1/26/2022 1:15,2.14
1/26/2022 1:30,2.3
1/26/2022 1:45,9.92
1/26/2022 2:00,7.12
1/26/2022 2:15,7.02
1/26/2022 2:30,4.66
1/26/2022 2:45,4.04
1/26/2022 3:00,1.96
1/26/2022 3:15,1.76
1/26/2022 3:30,1.66
1/26/2022 3:45,1.94
1/26/2022 4:00,4.5
1/26/2022 4:15,9.64
1/26/2022 4:30,9.24
1/26/2022 4:45,6.02
1/26/2022 5:00,4.28
1/26/2022 5:15,3.04
1/26/2022 5:30,3.08
1/26/2022 5:45,2.26
1/27/2022 0:00,6.36
1/27/2022 0:15,5.2
1/27/2022 0:30,5.6
1/27/2022 0:45,6.28
1/27/2022 1:00,7.86
1/27/2022 1:15,12.9
1/27/2022 1:30,22.36
1/27/2022 1:45,28.02
1/27/2022 2:00,14.46
1/27/2022 2:15,8.02
1/27/2022 2:30,3.08
1/27/2022 2:45,1.62
1/27/2022 3:00,0.72
1/27/2022 3:15,0.68
1/27/2022 3:30,0.66
1/27/2022 3:45,0.86
1/27/2022 4:00,0.72
1/27/2022 4:15,1.68
1/27/2022 4:30,0.34
1/27/2022 4:45,5.24
1/27/2022 5:00,8.56
1/27/2022 5:15,18.26
1/27/2022 5:30,28.4
1/27/2022 5:45,25.74
1/28/2022 0:00,29.46
1/28/2022 0:15,31.6
1/28/2022 0:30,16.36
1/28/2022 0:45,7.3
1/28/2022 1:00,11.02
1/28/2022 1:15,16.04
1/28/2022 1:30,22.2
1/28/2022 1:45,35.02
1/28/2022 2:00,28.48
1/28/2022 2:15,19.6
1/28/2022 2:30,23.12
1/28/2022 2:45,16.52
1/28/2022 3:00,12.06
1/28/2022 3:15,9.8
1/28/2022 3:30,4.28
1/28/2022 3:45,3.44
1/28/2022 4:00,3.04
1/28/2022 4:15,0.94
1/28/2022 4:30,0.9
1/28/2022 4:45,1.74
1/28/2022 5:00,1.34
1/28/2022 5:15,0.88
1/28/2022 5:30,0.36
1/28/2022 5:45,0.32
1/29/2022 0:00,2.26
1/29/2022 0:15,1.58
1/29/2022 0:30,0.84
1/29/2022 0:45,0.98
1/29/2022 1:00,1.66
1/29/2022 1:15,7.46
1/29/2022 1:30,14.82
1/29/2022 1:45,16.32
1/29/2022 2:00,9.62
1/29/2022 2:15,8.74
1/29/2022 2:30,3.34
1/29/2022 2:45,2.58
1/29/2022 3:00,2.12
1/29/2022 3:15,2.26
1/29/2022 3:30,2.08
1/29/2022 3:45,1.92
1/29/2022 4:00,0.52
1/29/2022 4:15,1
1/29/2022 4:30,0.08
1/29/2022 4:45,0.12
1/29/2022 5:00,3.54
1/29/2022 5:15,16.8
1/29/2022 5:30,21.58
1/29/2022 5:45,28.64
1/30/2022 0:00,29.82
1/30/2022 0:15,30.04
1/30/2022 0:30,26.04
1/30/2022 0:45,12.96
1/30/2022 1:00,6.7
1/30/2022 1:15,4.3
1/30/2022 1:30,2.8
1/30/2022 1:45,2.72
1/30/2022 2:00,1
1/30/2022 2:15,0.54
1/30/2022 2:30,0.44
1/30/2022 2:45,0
1/30/2022 3:00,0
1/30/2022 3:15,0
1/30/2022 3:30,0
1/30/2022 3:45,0.22
1/30/2022 4:00,0.66
1/30/2022 4:15,1.92
1/30/2022 4:30,5.1
1/30/2022 4:45,5.94
1/30/2022 5:00,5.56
1/30/2022 5:15,4.94
1/30/2022 5:30,3.9
1/30/2022 5:45,5
1/31/2022 0:00,6.04
1/31/2022 0:15,6.36
1/31/2022 0:30,5.94
1/31/2022 0:45,5.52
1/31/2022 1:00,5.22
1/31/2022 1:15,3.28
1/31/2022 1:30,1.06
1/31/2022 1:45,1.28
1/31/2022 2:00,1.3
1/31/2022 2:15,0.78
1/31/2022 2:30,0.92
1/31/2022 2:45,0.78
1/31/2022 3:00,0.82
1/31/2022 3:15,0.84
1/31/2022 3:30,0.92
1/31/2022 3:45,0.96
1/31/2022 4:00,0.78
1/31/2022 4:15,1
1/31/2022 4:30,0.44
1/31/2022 4:45,1.86
1/31/2022 5:00,5.74
1/31/2022 5:15,18.22
1/31/2022 5:30,31.7
1/31/2022 5:45,38.32
